図表：１－１－１（刑法犯認知・検挙状況）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年次,S21,S22,S23,S24,S25,S26,S27,S28,S29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-64歳,,5495,5215,5523,6154,7578,8488,8901,9080,9313,9667,10845,11221,12160,14116,16538,19714,21142,20816,20601,20596,20402,20580,21433,19721,16900,15124,13808,12542,11463,10636,10060,9717,9233,8991,9839,10218,10949
,人口10万人当たり,83.6,77.1,79.8,86.9,104.8,116,118.9,119.2,121,125.4,142.1,144.8,153.6,174.2,199.2,227.9,246.5,255.6,243.2,229.9,216.7,203.5,201.6,192.5,174.8,168.4,161.5,153.7,146.8,140,133.5,130.6,124.9,120.8,131,134.9,144.6
65-69歳,,3197,3223,3479,3840,4615,5359,5424,5910,6143,6899,7877,8464,9317,11070,13005,15372,16961,17745,18034,17622,17750,17161,16368,15672,14622,15000,15373,15386,14628,13363,11700,10514,9760,8861,8943,8993,9374
,人口10万人当たり,65.3,63,64.1,67.1,77,86,84.7,90.1,91.5,100.6,113.3,118.9,128,150.1,175.6,209.3,227.3,232.8,230.1,219.2,211.7,207.4,208.2,191,168.1,163.8,157.5,149.8,147.6,142.8,134.5,127.7,124,117.6,122,123.7,129
70-74歳,,1907,1697,1930,2052,2526,3042,3377,3662,3702,3787,4659,5206,5832,7147,8936,11256,12959,14487,14855,14525,13814,13689,13832,13748,13033,13261,12942,11898,11838,11777,11461,11905,12533,11631,11499,10749,10194
,人口10万人当たり,52,44.4,49.3,50.6,59.7,67.7,71.9,73.3,70.4,68.7,81.2,88.1,96.3,115.1,140.5,174.1,194.6,212.6,214.6,208.8,199.9,195.1,192.6,185.9,171.5,167.3,166.2,160.8,153.1,143.4,132.4,129.6,129.6,124.6,130.4,131.1,124.3
75-79歳,,1056,966,1176,1224,1420,1693,1687,1805,1919,1960,2385,2797,3214,3913,5005,6390,7438,8867,9529,10097,9873,10174,10724,10913,10407,10067,10163,10024,9980,9731,9626,9539,9015,8683,9680,10064,11006
,人口10万人当たり,35.8,31.9,37.9,39,44.9,53.8,51.2,53.4,54.5,53.1,60.7,67.3,72.5,83.7,102.2,125.3,140.9,163.8,171.3,177,169.9,169.7,174.6,174.5,165.1,160.6,159.9,153.7,148.3,140.8,133.4,135,134.3,123.5,129.5,127.6,139.6
80-84歳,,366,358,421,488,574,701,734,783,791,809,914,1090,1262,1528,2047,2692,3437,4029,4518,4739,4808,5165,5505,5948,5843,6336,6364,6730,6704,6679,6330,6334,6114,6268,6845,7136,7290
,人口10万人当たり,21.2,19.5,21.5,23.7,26.7,31.2,31.9,32.9,32.6,32.7,37,41.6,46.4,53.5,67.8,83.2,100.4,110.1,116.9,116.8,113.5,118,122.5,128.4,122.7,130.2,126.6,129.9,126.8,125.1,119.1,117.2,109.9,109.1,116.1,116.3,118.8
